"customerid","country","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"13077","United Kingdom","1","4","729.27",1,2,3,"123","Others"
"17389","United Kingdom","1","34","31833.68",1,1,1,"111","Sleeping"
"13521","United Kingdom","1","3","1093.65",1,2,2,"122","Sleeping"
"16892","United Kingdom","1","5","525.54",1,2,3,"123","Others"
"12423","Belgium","1","8","1859.31",1,1,2,"112","Sleeping"
"16833","United Kingdom","1","4","1106.53",1,2,2,"122","Sleeping"
"17490","United Kingdom","1","7","2092.32",1,1,1,"111","Sleeping"
"13860","United Kingdom","1","5","1245.90",1,2,2,"122","Sleeping"
"12518","Germany","1","5","2056.89",1,2,2,"122","Sleeping"
"17949","United Kingdom","1","45","58510.48",1,1,1,"111","Sleeping"
"15694","United Kingdom","1","14","6479.40",1,1,1,"111","Sleeping"
"13536","United Kingdom","1","7","3448.29",1,1,1,"111","Sleeping"
"14446","United Kingdom","1","4","1039.58",1,2,2,"122","Sleeping"
"16933","United Kingdom","1","2","563.23",1,3,3,"133","At Risk"
"16401","United Kingdom","1","12","4098.32",1,1,1,"111","Sleeping"
"15804","United Kingdom","1","13","4206.39",1,1,1,"111","Sleeping"
"15189","United Kingdom","1","41","16225.39",1,1,1,"111","Sleeping"
"12680","France","1","4","862.81",1,2,3,"123","Others"
"17554","United Kingdom","1","5","1952.45",1,2,2,"122","Sleeping"
"15399","United Kingdom","1","3","815.77",1,2,3,"123","Others"
"14415","United Kingdom","1","13","5900.28",1,1,1,"111","Sleeping"
"17144","United Kingdom","1","2","984.57",1,3,2,"132","Others"
"17451","United Kingdom","1","7","1721.40",1,1,2,"112","Sleeping"
"14606","United Kingdom","1","93","12156.65",1,1,1,"111","Sleeping"
"13013","United Kingdom","1","13","4810.94",1,1,1,"111","Sleeping"
"17243","United Kingdom","1","26","8676.85",1,1,1,"111","Sleeping"
"13426","United Kingdom","1","10","3641.32",1,1,1,"111","Sleeping"
"13471","United Kingdom","1","4","2531.58",1,2,1,"121","Sleeping"
"13798","United Kingdom","1","57","37153.85",1,1,1,"111","Sleeping"
"17581","United Kingdom","1","25","11045.04",1,1,1,"111","Sleeping"
"13510","United Kingdom","1","4","1791.56",1,2,2,"122","Sleeping"
"13113","United Kingdom","1","24","12245.96",1,1,1,"111","Sleeping"
"13102","United Kingdom","1","24","6424.09",1,1,1,"111","Sleeping"
"13069","United Kingdom","1","24","4436.12",1,1,1,"111","Sleeping"
"14056","United Kingdom","1","23","8214.65",1,1,1,"111","Sleeping"
"13026","United Kingdom","1","5","975.36",1,2,2,"122","Sleeping"
"14730","United Kingdom","1","8","2005.06",1,1,2,"112","Sleeping"
"14051","United Kingdom","1","23","15610.39",1,1,1,"111","Sleeping"
"12662","Germany","1","11","3849.78",1,1,1,"111","Sleeping"
"17668","United Kingdom","1","2","347.75",1,4,4,"144","At Risk"
"13298","United Kingdom","1","1","360.00",1,4,4,"144","At Risk"
"13599","United Kingdom","1","21","5153.67",1,1,1,"111","Sleeping"
"14911","EIRE","1","201","143825.06",1,1,1,"111","Sleeping"
"12526","Germany","1","3","1316.66",1,3,2,"132","Others"
"16794","United Kingdom","1","10","1222.71",1,1,2,"112","Sleeping"
"14621","United Kingdom","1","5","1788.36",1,2,2,"122","Sleeping"
"15796","United Kingdom","1","8","2711.56",1,1,1,"111","Sleeping"
"16558","United Kingdom","1","20","8338.49",1,1,1,"111","Sleeping"
"13263","United Kingdom","1","35","7454.07",1,1,1,"111","Sleeping"
"17001","United Kingdom","1","11","3989.57",1,1,1,"111","Sleeping"
"16322","United Kingdom","1","2","326.75",1,4,4,"144","At Risk"
"16705","United Kingdom","1","20","14034.99",1,1,1,"111","Sleeping"
"17491","United Kingdom","1","10","3558.87",1,1,1,"111","Sleeping"
"17754","United Kingdom","1","5","1772.26",1,2,2,"122","Sleeping"
"14441","United Kingdom","1","4","1712.89",1,2,2,"122","Sleeping"
"17405","United Kingdom","1","3","1031.41",1,2,2,"122","Sleeping"
"12748","United Kingdom","1","210","33719.73",1,1,1,"111","Sleeping"
"12713","Germany","1","1","848.55",1,5,3,"153","At Risk"
"15910","United Kingdom","1","8","1232.18",1,1,2,"112","Sleeping"
"17528","United Kingdom","1","8","3628.50",1,1,1,"111","Sleeping"
"15484","United Kingdom","1","4","3594.31",1,2,1,"121","Sleeping"
"17644","United Kingdom","1","11","2895.64",1,1,1,"111","Sleeping"
"12985","United Kingdom","1","2","1239.38",1,3,2,"132","Others"
"17530","United Kingdom","1","10","2385.00",1,1,1,"111","Sleeping"
"13318","United Kingdom","1","3","640.76",1,3,3,"133","At Risk"
"15898","United Kingdom","1","5","1388.88",1,2,2,"122","Sleeping"
"14702","United Kingdom","1","17","3292.14",1,1,1,"111","Sleeping"
"15344","United Kingdom","1","3","563.94",1,2,3,"123","Others"
"13680","United Kingdom","1","4","3722.42",1,2,1,"121","Sleeping"
"14796","United Kingdom","1","17","8022.49",1,1,1,"111","Sleeping"
"13777","United Kingdom","1","33","25977.16",1,1,1,"111","Sleeping"
"16626","United Kingdom","1","17","4413.10",1,1,1,"111","Sleeping"
"18102","United Kingdom","1","60","259657.30",1,1,1,"111","Sleeping"
"16688","United Kingdom","1","4","1260.86",1,2,2,"122","Sleeping"
"14569","United Kingdom","1","1","227.39",1,5,5,"155","At Risk"
"12955","United Kingdom","1","11","4757.16",1,1,1,"111","Sleeping"
"15156","United Kingdom","1","3","961.49",1,2,2,"122","Sleeping"
"15208","United Kingdom","1","5","870.12",1,2,3,"123","Others"
"14422","United Kingdom","1","6","4263.64",1,1,1,"111","Sleeping"
